booklink-href,name.1,image-src,author,rating,no of ratings,genre1,genre2,genre3,genre4,genre5,genre6
https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,Harry Potter and the Sorcerer's Stone,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474154022l/3._SY475_.jpg,J.K. Rowling,4.47,6716154,Fantasy,Young Adult,Fiction,"Fantasy 
Magic",,
https://www.goodreads.com/book/show/2767052-the-hunger-games,The Hunger Games,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975l/2767052.jpg,Suzanne Collins,4.33,6164881,Young Adult,Fiction,"Science Fiction 
Dystopia",Fantasy,Science Fiction,Romance
https://www.goodreads.com/book/show/41865.Twilight,Twilight,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361039443l/41865.jpg,Stephenie Meyer,3.59,4793429,Young Adult,Fantasy,Romance,"Paranormal 
Vampires",Fiction,"Fantasy 
Paranormal"
https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,To Kill a Mockingbird,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553383690l/2657.jpg,Harper Lee,4.28,4326094,Classics,Fiction,"Historical 
Historical Fiction","Academic 
School",,
https://www.goodreads.com/book/show/4671.The_Great_Gatsby,The Great Gatsby,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490528560l/4671._SY475_.jpg,F. Scott Fitzgerald,3.92,3633029,Classics,Fiction,"Academic 
School",Literature,,
https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,The Fault in Our Stars,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360206420l/11870085.jpg,John Green,4.21,3394518,Young Adult,Fiction,Romance,Contemporary,,
https://www.goodreads.com/book/show/40961427-1984,1984,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532714506l/40961427._SX318_.jpg,George Orwell,4.18,2973429,Classics,Fiction,Science Fiction,"Science Fiction 
Dystopia",,
https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,Pride and Prejudice,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351l/1885.jpg,Jane Austen,4.26,2868622,Classics,Fiction,Romance,null,,
https://www.goodreads.com/book/show/13335037-divergent,Divergent,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1588455221l/13335037._SY475_.jpg,Veronica Roth,4.2,2801009,Young Adult,"Science Fiction 
Dystopia",Fiction,Fantasy,,
https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again,"The Hobbit, or There and Back Again",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546071216l/5907.jpg,J.R.R. Tolkien,4.27,2785430,Fantasy,Classics,Fiction,Adventure,,
https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,Harry Potter and the Deathly Hallows,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474171184l/136251._SY475_.jpg,J.K. Rowling,4.62,2695996,Fantasy,Young Adult,Fiction,null,,
https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,Harry Potter and the Prisoner of Azkaban,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1499277281l/5.jpg,J.K. Rowling,4.57,2662716,Fantasy,Young Adult,Fiction,null,,
https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,The Catcher in the Rye,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398034300l/5107.jpg,J.D. Salinger,3.8,2645784,Classics,Fiction,Young Adult,Literature,,
https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl,The Diary of a Young Girl,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560816565l/48855.jpg,Anne Frank,4.14,2628439,Classics,Biography,Nonfiction,Historical,,
https://www.goodreads.com/book/show/170448.Animal_Farm,Animal Farm,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325861570l/170448.jpg,George Orwell,3.94,2613643,Classics,Fiction,"Science Fiction 
Dystopia",Fantasy,,
https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets,Harry Potter and the Chamber of Secrets,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474169725l/15881._SY475_.jpg,J.K. Rowling,4.42,2602346,Fantasy,Young Adult,Fiction,null,,
https://www.goodreads.com/book/show/960.Angels_Demons,Angels & Demons,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558711679l/960.jpg,Dan Brown,3.9,2590214,Fiction,Mystery,Thriller,Suspense,,
https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo,The Girl with the Dragon Tattoo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327868566l/2429135.jpg,Stieg Larsson,4.13,2518564,Fiction,Mystery,Thriller,"Mystery 
Crime","Thriller 
Mystery Thriller",Suspense
https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire,Harry Potter and the Goblet of Fire,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554006152l/6.jpg,J.K. Rowling,4.56,2474758,Fantasy,Young Adult,Fiction,null,,
https://www.goodreads.com/book/show/6148028-catching-fire,Catching Fire,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722941l/6148028.jpg,Suzanne Collins,4.29,2400325,Young Adult,"Science Fiction 
Dystopia",Fiction,Fantasy,,
https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,Harry Potter and the Order of the Phoenix,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546910265l/2.jpg,J.K. Rowling,4.5,2398080,Fantasy,Young Adult,Fiction,"Fantasy 
Magic",,
https://www.goodreads.com/book/show/77203.The_Kite_Runner,The Kite Runner,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579036753l/77203._SY475_.jpg,Khaled Hosseini,4.3,2342065,Fiction,"Historical 
Historical Fiction",Contemporary,null,,
https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,Harry Potter and the Half-Blood Prince,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587697303l/1._SX318_.jpg,J.K. Rowling,4.57,2334377,Fantasy,Young Adult,Fiction,"Fantasy 
Magic",,
https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring,The Fellowship of the Ring,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298411339l/34.jpg,J.R.R. Tolkien,4.36,2283565,Fantasy,Classics,Fiction,Adventure,,
https://www.goodreads.com/book/show/7260188-mockingjay,Mockingjay,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722918l/7260188.jpg,Suzanne Collins,4.04,2252037,Young Adult,"Science Fiction 
Dystopia",Fiction,Fantasy,,
https://www.goodreads.com/book/show/19288043-gone-girl,Gone Girl,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554086139l/19288043.jpg,Gillian Flynn,4.07,2231541,Fiction,Mystery,Thriller,"Mystery 
Crime",,
https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,Lord of the Flies,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327869409l/7624.jpg,William Golding,3.68,2188117,Classics,Fiction,Young Adult,"Academic 
School",,
https://www.goodreads.com/book/show/4667024-the-help,The Help,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572940430l/4667024._SY475_.jpg,Kathryn Stockett,4.47,2081790,Fiction,"Historical 
Historical Fiction",Historical,null,,
https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,"The Lion, the Witch and the Wardrobe",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353029077l/100915.jpg,C.S. Lewis,4.22,2052864,Fantasy,Classics,Fiction,Young Adult,,
https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,Romeo and Juliet,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572098085l/18135._SY475_.jpg,William Shakespeare,3.75,1998802,Classics,Plays,Fiction,Romance,,
https://www.goodreads.com/book/show/22557272-the-girl-on-the-train,The Girl on the Train,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574805682l/22557272.jpg,Paula Hawkins,3.92,1998458,Fiction,Mystery,Thriller,"Mystery 
Crime",,
